White opening, Black counter, , Hive-PLM openings 
white win rate, black win rate 
wL,bL,bP,bM,bG,bS,bB
0.6428571428571429,0.38636363636363635,0.3055555555555556,0.25,0.1875,0.14285714285714288,0.0
wA,bL,bB
0.6,0.5,0.0
wP,bL,bP
0.46153846153846156,0.5833333333333334,0.0
wM,bS,bL,bM
0.3333333333333333,1.0,0.5,0.0
wG,bP,bL,bG
0.3333333333333333,1.0,0.6190476190476191,0.0
wB,bL
0.0,1.0
wS,bL
0.0,1.0
