Game Type:,Hive-PLM
TotNrGames:,216
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black wins, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
wL - bP,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wL+0+0bP-1+1&title=HV-nevir-Quodlibet-2015-04-23-1514%20::%20N:36%20whitewin:67%25%20blackwin:31%25%20draw:3%25,36,24,66.66666666666667,11,30.555555555555557,1,2.7777777777777777,"HV-Quodlibet-Dumbot-2015-04-23-1838, T!HV-Quodlibet-tanksc-2015-07-12-1407, T!HV-Quodlibet-nevir-2015-07-23-0106, T!HV-Quodlibet-nevir-2015-07-23-2159, T!HV-Quodlibet-ewjimmy-2015-07-02-1922, T!HV-Quodlibet-Kobajagi-2015-06-16-2016, HV-Quodlibet-nevir-2015-05-03-1456, HV-Quodlibet-tanksc-2016-01-28-1340, T!HV-Quodlibet-Bechster-2016-07-10-1635, HV-Quodlibet-Bechster-2016-07-03-1603, T!HV-Quodlibet-bpalermo-2017-04-19-2159, T!HV-Quodlibet-stepanzo-2017-08-18-0215, T!HV-Quodlibet-16mk16-2017-06-04-1737, T!HV-Quodlibet-16mk16-2017-06-07-0417, T!HV-Quodlibet-iserp-2017-05-26-1403, T!HV-Quodlibet-iserp-2017-05-26-1449, T!HV-Quodlibet-Pseudomon-2018-08-25-1804, T!HV-Quodlibet-Dube-2018-06-03-2204, T!HV-Jewdoka-Quodlibet-2018-09-16-2301, T!HV-Quodlibet-Jewdoka-2018-09-23-2315, T!HV-Quodlibet-Pseudomon-2018-08-31-1735, T!HV-Quodlibet-jbchaubet-2019-06-08-1900, T!HV-Quodlibet-Loizz-2019-09-08-1742, T!HV-Quodlibet-Loizz-2019-09-08-1912, ","HV-nevir-Quodlibet-2015-04-23-1514, HV-Dumbot-Quodlibet-2015-04-26-1732, T!HV-Quodlibet-Eucalyx-2016-08-14-0208, T!HV-Quodlibet-Eucalyx-2016-08-14-0251, T!HV-Quodlibet-Bechster-2016-07-08-1918, T!HV-Quodlibet-Jewdoka-2017-08-06-1536, T!HV-Quodlibet-Eucalyx-2017-05-20-0051, HV-Quodlibet-Jewdoka-2018-09-24-0026, T!HV-Quodlibet-Loizz-2019-08-25-1745, T!HV-Quodlibet-Eucalyx-2019-07-29-0206, T!HV-Quodlibet-Loizz-2019-09-01-1600, ","T!HV-Quodlibet-tanksc-2015-07-13-0147, "
wL - bL,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bL+1+0wL+0+0&title=HV-Quodlibet-nevir-2015-04-23-1501%20::%20N:88%20whitewin:58%25%20blackwin:39%25%20draw:3%25,88,51,57.95454545454545,34,38.63636363636363,3,3.409090909090909,"HV-Quodlibet-nevir-2015-04-23-1501, HV-Quodlibet-nevir-2015-02-15-0453, HV-nevir-Quodlibet-2015-01-27-1901, T!HV-Quodlibet-ewjimmy-2015-07-06-1937, T!HV-Quodlibet-ewjimmy-2015-07-06-2115, T!HV-Fumanchu-Quodlibet-2015-06-13-1526, T!HV-Quodlibet-Fumanchu-2015-06-13-1458, T!HV-Quodlibet-Kobajagi-2015-06-24-1539, T!HV-Quodlibet-bluess-2015-05-13-0044, T!HV-Quodlibet-bluess-2015-05-13-0152, T!HV-Quodlibet-Eucalyx-2016-08-13-0216, T!HV-Quodlibet-Bechster-2016-07-08-1650, HV-bitsofgreg-Quodlibet-2016-07-19-0248, HV-Quodlibet-bitsofgreg-2016-07-19-0233, T!HV-Quodlibet-bitsofgreg-2016-07-22-0306, T!HV-Quodlibet-bitsofgreg-2016-07-22-0322, T!HV-Quodlibet-bitsofgreg-2016-06-22-0203, HV-Quodlibet-gabri-2016-05-15-1420, T!HV-Jewdoka-Quodlibet-2017-08-05-1534, T!HV-Jewdoka-Quodlibet-2017-07-31-0030, T!HV-Quodlibet-Jewdoka-2017-07-30-2321, T!HV-Quodlibet-tzimarou-2017-07-08-1502, T!HV-Quodlibet-Frasco92-2017-06-04-2209, T!HV-Quodlibet-Frasco92-2017-06-07-2147, TU!HV-Quodlibet-Radek0-2017-05-11-2006, T!HV-Pseudomon-Quodlibet-2018-08-28-1906, T!HV-Quodlibet-Radek0-2018-07-16-1606, T!HV-Quodlibet-Radek0-2018-07-16-1725, HV-Quodlibet-ruthhive-2018-06-09-1601, T!HV-Quodlibet-ckunka-2018-06-13-2358, T!HV-Quodlibet-Dube-2018-06-19-2319, T!HV-Quodlibet-Shark-2018-05-06-1403, T!HV-Quodlibet-ringersoll-2018-05-20-2100, T!HV-Quodlibet-jewdoka-2018-05-30-0105, HV-Quodlibet-Jewdoka-2018-09-09-2109, HV-Quodlibet-Pseudomon-2018-08-29-1834, T!HV-Quodlibet-ringersoll-2019-04-23-0103, T!HV-Quodlibet-Eucalyx-2019-08-01-0321, TU!HV-Quodlibet-Eucalyx-2019-08-07-0308, T!HV-Quodlibet-tzimarou-2019-06-30-1934, T!HV-Jewdoka-Quodlibet-2019-06-22-0011, T!HV-Pseudomon-Quodlibet-2019-05-12-1506, T!HV-Quodlibet-stepanzo-2019-05-23-0502, T!HV-Quodlibet-Gandac-2019-05-29-1702, T!HV-stepanzo-Quodlibet-2019-05-26-1502, T!HV-Quodlibet-Jewdoka-2019-09-18-2354, HV-Quodlibet-aenorman43-2020-06-17-2005, T!HV-aenorman43-Quodlibet-2020-06-19-2000, T!HV-Quodlibet-aenorman43-2020-06-19-2103, T!HV-VYCMajor-Quodlibet-2020-05-11-1536, T!HV-davideg-Quodlibet-2020-05-16-2005, ","HV-Figgledee-Quodlibet-2015-01-20-1821, T!HV-nevir-Quodlibet-2015-07-22-0116, T!HV-Quodlibet-Fumanchu-2015-06-14-1508, T!HV-Quodlibet-Kobajagi-2015-06-17-1318, T!HV-Kobajagi-Quodlibet-2015-06-24-1507, T!HV-bluess-Quodlibet-2015-05-13-0104, T!HV-Bechster-Quodlibet-2016-07-08-1718, T!HV-bitsofgreg-Quodlibet-2016-07-20-0239, T!HV-bitsofgreg-Quodlibet-2016-06-22-0229, T!HV-ringersoll-Quodlibet-2017-04-26-0110, T!HV-Quodlibet-Jewdoka-2017-08-05-1628, T!HV-Quodlibet-stepanzo-2017-08-23-0336, T!HV-16mk16-Quodlibet-2017-06-15-0336, T!HV-16mk16-Quodlibet-2017-06-07-0415, T!HV-Frasco92-Quodlibet-2017-06-07-2109, TU!HV-Radek0-Quodlibet-2017-05-11-2034, HV-iserp-Quodlibet-2017-05-26-1516, T!HV-iserp-Quodlibet-2017-05-26-1417, HV-nevir-Quodlibet-2017-05-05-0045, T!HV-Quodlibet-ringersoll-2018-04-18-2330, T!HV-ringersoll-Quodlibet-2018-04-19-0002, HV-Pseudomon-Quodlibet-2018-08-25-1939, T!HV-Radek0-Quodlibet-2018-07-16-1628, T!HV-ckunka-Quodlibet-2018-06-07-0249, T!HV-ruthhive-Quodlibet-2018-06-09-1606, T!HV-ruthhive-Quodlibet-2018-06-09-1626, T!HV-ckunka-Quodlibet-2018-06-13-2300, T!HV-Dube-Quodlibet-2018-06-19-2251, T!HV-ringersoll-Quodlibet-2019-04-23-0113, T!HV-jbchaubet-Quodlibet-2019-06-08-1921, T!HV-Quodlibet-Jewdoka-2019-06-22-0044, T!HV-Gandac-Quodlibet-2019-05-31-1934, T!HV-axljka-Quodlibet-2019-05-01-1952, T!HV-davideg-Quodlibet-2020-05-17-2002, ","T!HV-Pseudomon-Quodlibet-2018-08-28-1902, T!HV-dube-Quodlibet-2018-07-11-2248, T!HV-Quodlibet-Jewdoka-2019-09-19-0108, "
wL - bS,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wL+0+0bS1-1+1&title=U!HV-Quodlibet-Dumbot-2015-04-20-0406%20::%20N:7%20whitewin:86%25%20blackwin:14%25%20draw:0%25,7,6,85.71428571428571,1,14.285714285714286,0,0.0,"U!HV-Quodlibet-Dumbot-2015-04-20-0406, HV-Quodlibet-durugyakos-2015-03-03-1927, HV-Quodlibet-dai-2015-05-25-1914, T!HV-Quodlibet-dragonlord-2016-06-03-1951, T!HV-Quodlibet-Pseudomon-2019-05-13-0502, HV-Quodlibet-SmartBot1-2020-04-20-1433, ","T!HV-Jewdoka-Quodlibet-2018-09-15-0231, ",""
wG - bP,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bP-1+1wG1+0+0&title=HV-Dumbot-Quodlibet-2015-04-27-1505%20::%20N:2%20whitewin:0%25%20blackwin:100%25%20draw:0%25,2,0,0.0,2,100.0,0,0.0,"","HV-Dumbot-Quodlibet-2015-04-27-1505, HV-tanksc-Quodlibet-2015-07-17-1502, ",""
wP - bP,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP+0+0bP-1+1&title=HV-tanksc-Quodlibet-2015-02-07-1458%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-tanksc-Quodlibet-2015-02-07-1458, ","",""
wL - bB,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wL+0+0bB1-1+1&title=HV-Quodlibet-tabarisch-2015-02-16-0245%20::%20N:3%20whitewin:100%25%20blackwin:0%25%20draw:0%25,3,3,100.0,0,0.0,0,0.0,"HV-Quodlibet-tabarisch-2015-02-16-0245, HV-Quodlibet-ringersoll-2017-04-28-2302, T!HV-Quodlibet-bluess-2018-04-27-1719, ","",""
wB - bL,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wB1+0+0bL-1+1&title=HV-tabarisch-Quodlibet-2015-02-16-0254%20::%20N:2%20whitewin:0%25%20blackwin:100%25%20draw:0%25,2,0,0.0,2,100.0,0,0.0,"","HV-tabarisch-Quodlibet-2015-02-16-0254, T!HV-bluess-Quodlibet-2015-05-13-0031, ",""
wL - bG,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bG1-1+0wL+0+0&title=HV-Quodlibet-Figgledee-2015-02-24-2006%20::%20N:16%20whitewin:75%25%20blackwin:19%25%20draw:6%25,16,12,75.0,3,18.75,1,6.25,"HV-Quodlibet-Figgledee-2015-02-24-2006, HV-Quodlibet-guest-2015-01-17-1416, HV-Quodlibet-Figgledee-2015-01-20-1815, T!HV-Quodlibet-dai-2015-05-19-1937, T!HV-Quodlibet-tzimarou-2017-07-07-2106, T!HV-Quodlibet-nevir-2017-05-05-0019, T!HV-Quodlibet-ruthhive-2018-06-09-1621, T!HV-Quodlibet-tzimarou-2018-05-13-1511, T!HV-Quodlibet-HappyKiwi-2019-07-14-1707, HV-Quodlibet-HappyKiwi-2019-07-21-1605, HV-Quodlibet-WeakBot-2019-07-27-0236, HV-Quodlibet-Dumbot-2019-11-28-0111, ","T!HV-Quodlibet-tzimarou-2016-09-19-1909, T!HV-Quodlibet-tzimarou-2016-09-19-1948, T!HV-Jewdoka-Quodlibet-2019-10-03-0001, ","HV-Jewdoka-Quodlibet-2018-10-04-0140, "
wG - bL,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0bL-1+1&title=HV-nevir-Quodlibet-2015-02-03-0441%20::%20N:21%20whitewin:33%25%20blackwin:62%25%20draw:5%25,21,7,33.333333333333336,13,61.904761904761905,1,4.761904761904762,"T!HV-tanksc-Quodlibet-2015-07-13-0133, U!HV-jew-Quodlibet-2015-05-19-0336, T!HV-tzimarou-Quodlibet-2016-09-08-1942, T!HV-tzimarou-Quodlibet-2017-07-08-1423, T!HV-tzimarou-Quodlibet-2018-05-13-1555, HV-Quodlibet-Jewdoka-2018-10-10-0140, T!HV-HappyKiwi-Quodlibet-2019-07-16-1305, ","HV-nevir-Quodlibet-2015-02-03-0441, T!HV-tanksc-Quodlibet-2015-07-12-1340, T!HV-nevir-Quodlibet-2015-07-23-2107, T!HV-dai-Quodlibet-2015-05-19-1908, T!HV-dai-Quodlibet-2015-05-25-1902, T!HV-gabri-Quodlibet-2016-05-15-1446, T!HV-bpalermo-Quodlibet-2017-04-19-2208, T!HV-tzimarou-Quodlibet-2017-07-17-2103, T!HV-Eucalyx-Quodlibet-2019-08-05-0309, T!HV-HappyKiwi-Quodlibet-2019-07-14-1810, T!HV-tzimarou-Quodlibet-2019-06-30-2134, T!HV-aenorman43-Quodlibet-2020-06-17-2037, T!HV-VYCMajor-Quodlibet-2020-05-11-1609, ","HV-tzimarou-Quodlibet-2016-10-09-1407, "
wL - bM,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wL+0+0bM+1+0&title=HV-Quodlibet-nevir-2015-02-03-0453%20::%20N:4%20whitewin:75%25%20blackwin:25%25%20draw:0%25,4,3,75.0,1,25.0,0,0.0,"HV-Quodlibet-nevir-2015-02-03-0453, T!HV-Quodlibet-ewjimmy-2015-07-02-2007, T!HV-Quodlibet-ckunka-2018-06-07-0234, ","HV-Quodlibet-ringersoll-2015-03-17-0016, ",""
