Game Type:,Hive-PLM
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black games, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
HV-osnoca-Dumbot-2015-04-08-0434,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP-1-1bB1+1+0wB1+0-1bQ+3-2wS1+0+0wQ-1+0bP+2-1bB2+2-2&title=HV-osnoca-Dumbot-2015-04-08-0434%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-osnoca-Dumbot-2015-04-08-0434, ",""
HV-preve-Bechster-2015-04-09-2056,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bP+1+0wQ+0-1bM+2-1wG1+0+0bQ+1+1wA1+3+0bA1+2+0&title=HV-preve-Bechster-2015-04-09-2056%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-preve-Bechster-2015-04-09-2056, ",""
HV-preve-Dumbot-2015-04-09-2020,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wB1+0+0wQ+0-1bQ+2+0bL+2-1bP+1+0bS1+3-2wG1+0+0&title=HV-preve-Dumbot-2015-04-09-2020%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-preve-Dumbot-2015-04-09-2020, ","",""
HV-shogi-nevir-2015-04-08-1901,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wA1+0+0bG1+1+0bA1+2-1bA2+2+0bQ+1+1wM+3-2&title=HV-shogi-nevir-2015-04-08-1901%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-shogi-nevir-2015-04-08-1901, ","",""
HV-tanksc-Dumbot-2015-04-07-0746,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA2+2-1bA1+1+0wA1+1+2wQ+0-1bP+2+0bQ+1+1wP+0+0&title=HV-tanksc-Dumbot-2015-04-07-0746%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-tanksc-Dumbot-2015-04-07-0746, ","",""
U!HV-Dumbot-TMarshal-2015-04-11-0102,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1-1+0wL+0+0bQ+2-1bS1+1+0bA1-2-1wQ-1-1wS1-1+1&title=U!HV-Dumbot-TMarshal-2015-04-11-0102%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-Dumbot-TMarshal-2015-04-11-0102, ",""
U!HV-guest-Dumbot-2015-04-09-2104,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM-2+2bB1+1+0wB1+0+0bM+2+0wQ+0-1bS1+3+0wS1-1+1bQ+4-1&title=U!HV-guest-Dumbot-2015-04-09-2104%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-guest-Dumbot-2015-04-09-2104, ",""
U!HV-TMarshal-Dumbot-2015-04-09-1326,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bL+1+1bA1+1+0wA1-1-1wS2+1-2wS1+0+0bQ+2-1bA2+2+1wQ+0-1&title=U!HV-TMarshal-Dumbot-2015-04-09-1326%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-TMarshal-Dumbot-2015-04-09-1326, ","",""
U!HV-TMarshal-Dumbot-2015-04-09-1957,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+2-1wA1+3-2bL+2+0bP+1+0wS1+0+0bA1+2+1wQ-1+0&title=U!HV-TMarshal-Dumbot-2015-04-09-1957%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-TMarshal-Dumbot-2015-04-09-1957, ","",""
U!HV-TMarshal-Dumbot-2015-04-10-1800,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bB2+1+1wQ+0-1wS2+3-2bB1+1+0bP+2+0bQ+2-1wS1+0+0&title=U!HV-TMarshal-Dumbot-2015-04-10-1800%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-TMarshal-Dumbot-2015-04-10-1800, ","",""
U!HV-TMarshal-Dumbot-2015-04-10-2149,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bB1+1+1bM+1+0wA2-1-1wS1+0+0bS1+2+0wQ+0-1wA1+1-2bQ+0+2&title=U!HV-TMarshal-Dumbot-2015-04-10-2149%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-TMarshal-Dumbot-2015-04-10-2149, ",""
HV-Bechster-Dumbot-2015-04-14-1048,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bS1+1+0bQ+3-1wA1+3+0bM+2-1wP+0+0bB1+1+1wQ+0-1&title=HV-Bechster-Dumbot-2015-04-14-1048%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Bechster-Dumbot-2015-04-14-1048, ","",""
HV-BogdanM-Dumbot-2015-04-13-2019,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ-1+0bP+2-1bL+1+0wP-1+1bQ+2-2wG1-2+2bB1+2+0wS1+0+0&title=HV-BogdanM-Dumbot-2015-04-13-2019%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-BogdanM-Dumbot-2015-04-13-2019, ",""
HV-Dumbot-Bechster-2015-04-12-1816,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS1+0+0bQ+2-1wQ-1+0wB1-1+1wB2+0-1bA1+1-2bS1+1+0&title=HV-Dumbot-Bechster-2015-04-12-1816%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-Bechster-2015-04-12-1816, ","",""
HV-Dumbot-Bechster-2015-04-13-2022,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bA1+2+0bS1+1+0wA1+3+0wS1+0+0bQ+1+1bM+2-1&title=HV-Dumbot-Bechster-2015-04-13-2022%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Dumbot-Bechster-2015-04-13-2022, ",""
HV-Dumbot-BogdanM-2015-04-13-1947,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wM+0+0wP+0-1bG1+2-1bS1+1+0wB1-1+0bQ+2+0bP+1+1wQ+0-2&title=HV-Dumbot-BogdanM-2015-04-13-1947%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-BogdanM-2015-04-13-1947, ","",""
HV-Dumbot-Felixavier-2015-04-13-1644,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS1+0+0wQ+0-1bS1+1+0wS2-2+1bQ+2+0wA1-1+1bS2+1+1bA1+2-1&title=HV-Dumbot-Felixavier-2015-04-13-1644%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Dumbot-Felixavier-2015-04-13-1644, ",""
HV-Dumbot-guest-2015-04-14-1113,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS1+0+0bQ+2+0wM-1+1bA1-2+0wQ-1-1wG1+0-1bS1+1+0&title=HV-Dumbot-guest-2015-04-14-1113%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-guest-2015-04-14-1113, ","",""
HV-Dumbot-howl-2015-04-12-1829,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP-1-1bS1+0+2bG1+1+0wQ+0-1bQ+1+1wS1+0+0wG1-1+0bA1+2-1&title=HV-Dumbot-howl-2015-04-12-1829%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-howl-2015-04-12-1829, ","",""
HV-Dumbot-jew-2015-04-15-0144,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ-1-1bM+1+0bL+2-1wB1-1+0bP+2+0wS1-1+1bQ+1+1wL+0+0&title=HV-Dumbot-jew-2015-04-15-0144%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Dumbot-jew-2015-04-15-0144, ","",""
HV-guest-Dumbot-2015-04-13-2017,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wG1+2+0bS1+3-1bG1+1+0bQ+1+1wA1+0+0&title=HV-guest-Dumbot-2015-04-13-2017%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-guest-Dumbot-2015-04-13-2017, ",""
HV-Jared165-Dumbot-2015-04-13-2107,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP+0-1bP+1+0bQ+1+1wS1+0+0wQ+1-2wM+0-2bS1+2+0bL+2-1&title=HV-Jared165-Dumbot-2015-04-13-2107%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-Jared165-Dumbot-2015-04-13-2107, ",""
HV-jew-Dumbot-2015-04-14-2257,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bM+1+1bL+1+0bP+2+0wA2-1+1wA1+0-1wS1+0+0bQ+2-1wQ-1+0&title=HV-jew-Dumbot-2015-04-14-2257%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-jew-Dumbot-2015-04-14-2257, ",""
HV-jew-Dumbot-2015-04-15-0229,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bG2+1+1wQ-1+0bB1+2+1bG1+1+0bQ+2-1wA1+3-2wM+0+0&title=HV-jew-Dumbot-2015-04-15-0229%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-jew-Dumbot-2015-04-15-0229, ","",""
HV-jew-ringersoll-2015-04-14-2300,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS1+0+0bQ+2-1bA1+1+1wA1+0-1bM+2+0wQ-1+0wA2-1+1bL+1+0&title=HV-jew-ringersoll-2015-04-14-2300%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-jew-ringersoll-2015-04-14-2300, ",""
HV-jew-tanksc-2015-04-15-0244,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+2-1bP+2+0bA1+1+1wQ-1+0bG1+1+0wA1+3-2wM+0+0&title=HV-jew-tanksc-2015-04-15-0244%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-jew-tanksc-2015-04-15-0244, ",""
HV-kdladage-Dumbot-2015-04-13-0405,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0bB1+2+0wQ+0-1bQ+2+1wB1+0+0bA1+2-1bL+1+0&title=HV-kdladage-Dumbot-2015-04-13-0405%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-kdladage-Dumbot-2015-04-13-0405, ",""
HV-spacefood-Dumbot-2015-04-14-1759,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+3-1wQ-1+0wM+0-1bG1+2-1wA1-1+1bB1+2+0bP+1+0wP+0+0&title=HV-spacefood-Dumbot-2015-04-14-1759%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-spacefood-Dumbot-2015-04-14-1759, ",""
U!HV-Dumbot-TMarshal-2015-04-11-2023,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bS2+0-2wA1-1+1bQ+2-1wS1+0+0bS1+1+0wP-1+0wQ+0-1&title=U!HV-Dumbot-TMarshal-2015-04-11-2023%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-Dumbot-TMarshal-2015-04-11-2023, ","",""
U!HV-Dumbot-TMarshal-2015-04-12-1336,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bS2+0+2bS1+1+0bQ+1+1wA1+0+3wS1+0+0bA1+2-1&title=U!HV-Dumbot-TMarshal-2015-04-12-1336%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-Dumbot-TMarshal-2015-04-12-1336, ","",""
U!HV-guest-Dumbot-2015-04-11-0829,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wS1+0+0bS1+1+0wL-1+1wP+1-2bG2+1+1bQ+3-1bG1+2-1&title=U!HV-guest-Dumbot-2015-04-11-0829%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-guest-Dumbot-2015-04-11-0829, ",""
U!HV-guest-Dumbot-2015-04-11-0927,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA1+1+0bB1+2+0bS1+1+1bQ+2+1wS1+0+0wA1+1-1wQ+0-1&title=U!HV-guest-Dumbot-2015-04-11-0927%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-guest-Dumbot-2015-04-11-0927, ",""
U!HV-jrf715-Dumbot-2015-04-11-0316,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+3-1bL+1+0wQ+0-1bG1+2-1wP-1+0wS1+0+0bM+1+1wA1-1+1&title=U!HV-jrf715-Dumbot-2015-04-11-0316%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-jrf715-Dumbot-2015-04-11-0316, ","",""
U!HV-pistolwit-Dumbot-2015-04-12-0353,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bB1+2-1wA1+0-1wQ-2-1bQ+3-1wB1-1-1bS1+1+0bB2+1+1wS1+0+0&title=U!HV-pistolwit-Dumbot-2015-04-12-0353%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-pistolwit-Dumbot-2015-04-12-0353, ",""
U!HV-TMarshal-Dumbot-2015-04-12-0006,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bP+3-2bQ+3-1wA1+1-2wA2-1+1bG1+2-1bM+1+0wQ+0-1wS1+0+0&title=U!HV-TMarshal-Dumbot-2015-04-12-0006%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-TMarshal-Dumbot-2015-04-12-0006, ","",""
U!HV-TMarshal-Dumbot-2015-04-13-0041,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS1+0+0bQ+1+1bS1+1+0wA2-1-1wQ+0-1wA1+1-2bL+2-1bG1+2+0&title=U!HV-TMarshal-Dumbot-2015-04-13-0041%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"U!HV-TMarshal-Dumbot-2015-04-13-0041, ","",""
HV-aaronh-Dumbot-2015-04-15-0305,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wA1-1+0bP+2+0wP+0+0wQ+0-1bQ+1+1wL-1+1bS1+2+1bB1+1+0&title=HV-aaronh-Dumbot-2015-04-15-0305%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-aaronh-Dumbot-2015-04-15-0305, ",""
HV-aaronh-Dumbot-2015-04-15-0306,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bL+1+0bP+2+0wQ+0-1wA2-1-1wP+0+0bM+2-1wA1-1+1bQ+3-1&title=HV-aaronh-Dumbot-2015-04-15-0306%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-aaronh-Dumbot-2015-04-15-0306, ","",""
HV-aaronh-Dumbot-2015-04-15-0416,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wA1+3-1bL+1+0bQ+2+0bS1+1+1wQ+0-1wP+0+0bP+2+1&title=HV-aaronh-Dumbot-2015-04-15-0416%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-aaronh-Dumbot-2015-04-15-0416, ","",""
HV-aaronh-Dumbot-2015-04-15-0425,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP+0+0wQ+0-1bB2+0+1bQ+2+0bB1+1+0wA1+3-1&title=HV-aaronh-Dumbot-2015-04-15-0425%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-aaronh-Dumbot-2015-04-15-0425, ","",""
HV-aaronh-Dumbot-2015-04-16-0147,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bL+1+0bQ+2-1bB1+2+0wP+0+0bG1+1+1wA1+2-2&title=HV-aaronh-Dumbot-2015-04-16-0147%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-aaronh-Dumbot-2015-04-16-0147, ","",""
HV-aaronh-tanksc-2015-04-16-0242,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP+0+0wA2-1+0bQ+2-1bB1+1-1wQ+0-1bM+1+0wA1-1+1&title=HV-aaronh-tanksc-2015-04-16-0242%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-aaronh-tanksc-2015-04-16-0242, ",""
HV-cibci-Dumbot-2015-04-16-1840,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bS1+1+0bS2+2-1bM+3-1wQ-2-1wS1+0+0bQ+3+0wP-2+0wM-1+0&title=HV-cibci-Dumbot-2015-04-16-1840%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-cibci-Dumbot-2015-04-16-1840, ",""
HV-cibci-Dumbot-2015-04-16-1900,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wP-2+0wM-1+0bQ+2+1bB1+1+1wQ-2-1bM+2+0bG1+1+0wS1+0+0&title=HV-cibci-Dumbot-2015-04-16-1900%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-cibci-Dumbot-2015-04-16-1900, ",""
HV-cibci-Dumbot-2015-04-17-1521,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bL+1+0wM-1+0bG1+2-1bQ+2-2wQ-2-1wS1+0+0wP-2+0bB1+3-1&title=HV-cibci-Dumbot-2015-04-17-1521%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-cibci-Dumbot-2015-04-17-1521, ",""
HV-cibci-tanksc-2015-04-15-0642,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wS2-1+0wQ-1-1bQ+1+1wS1+0+0bA1-1-2bP+1+0wG1-2+0&title=HV-cibci-tanksc-2015-04-15-0642%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-cibci-tanksc-2015-04-15-0642, ",""
