Game Type:,Hive-PLM
TotNrGames:,194
Opening name, Entomology URL, Total nr of games, Nr white wins, White win percentage, Nr black wins, Black win percentage, Nr draws, Draw percentage, List of white win games, List of black win games, List of drawn games
T!HV-Eucalyx-ewjimmy-2015-06-11-1409,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wB1-1+1bQ+1+1bA1+2-1bM+2+0wA1-1+0bP+1+0wG1+0+0&title=T!HV-Eucalyx-ewjimmy-2015-06-11-1409%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-ewjimmy-2015-06-11-1409, ","",""
T!HV-Eucalyx-ewjimmy-2015-06-11-1531,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bM+2+0wQ-1-1bL+1+0wG1+0+0bB1+2-1wA1-1+0wP+0-1bQ+1+1&title=T!HV-Eucalyx-ewjimmy-2015-06-11-1531%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-ewjimmy-2015-06-11-1531, ","",""
T!HV-ewjimmy-Eucalyx-2015-06-11-1445,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1bQ+1+1wB1+0+0bA1+2-1bL+1+0bM+2+0wA1+3+0&title=T!HV-ewjimmy-Eucalyx-2015-06-11-1445%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-ewjimmy-Eucalyx-2015-06-11-1445, ","",""
T!HV-ewjimmy-Eucalyx-2015-06-11-1551,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wL+0+0bQ+1+1bL+1+0wQ+0-1wA1-1+0bM+2+0bP+2+1wM-1+1&title=T!HV-ewjimmy-Eucalyx-2015-06-11-1551%20::%20N:1%20whitewin:0%25%20blackwin:0%25%20draw:100%25,1,0,0.0,0,0.0,1,100.0,"","","T!HV-ewjimmy-Eucalyx-2015-06-11-1551, "
HV-ryden-Eucalyx-2015-06-22-1433,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1-1+0wQ-1-1bA1-1-2wB1+0-1bM+1+0wP+0+0bQ+2-1&title=HV-ryden-Eucalyx-2015-06-22-1433%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","HV-ryden-Eucalyx-2015-06-22-1433, ",""
T!HV-Eucalyx-shogi-2015-06-16-1429,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wG1+0+0bQ+2-1bA1+1+1wB1+0+0bP+1+0wQ-1+0bM+2+0&title=T!HV-Eucalyx-shogi-2015-06-16-1429%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-shogi-2015-06-16-1429, ","",""
T!HV-Eucalyx-shogi-2015-06-16-1543,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA1+1-2wG1+0+0bP+1+0wQ-1+0wB1+1-1bQ+2-1&title=T!HV-Eucalyx-shogi-2015-06-16-1543%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"T!HV-Eucalyx-shogi-2015-06-16-1543, ","",""
T!HV-shogi-Eucalyx-2015-06-16-1502,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=wQ+0-1wA1+3-2wG1+0+0bA1+1+1bM+2+0bQ+2-1bL+1+0&title=T!HV-shogi-Eucalyx-2015-06-16-1502%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","T!HV-shogi-Eucalyx-2015-06-16-1502, ",""
U!HV-nevir-Eucalyx-2015-06-21-1330,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bQ+1+1bL+1+0bA1+3+0wQ+0-1wA1+0+0bP+2+1wM+1+2&title=U!HV-nevir-Eucalyx-2015-06-21-1330%20::%20N:1%20whitewin:0%25%20blackwin:100%25%20draw:0%25,1,0,0.0,1,100.0,0,0.0,"","U!HV-nevir-Eucalyx-2015-06-21-1330, ",""
HV-Eucalyx-Dumbot-2015-06-23-1319,https://entomology.appspot.com/hive.html?bg=0&color=1&grid=0&label=1&mode=edit&board=bA1+1+0wQ+0-1wA1+0+0bM+2+0bQ+3-1wM+3-2bP+3+0&title=HV-Eucalyx-Dumbot-2015-06-23-1319%20::%20N:1%20whitewin:100%25%20blackwin:0%25%20draw:0%25,1,1,100.0,0,0.0,0,0.0,"HV-Eucalyx-Dumbot-2015-06-23-1319, ","",""
